,word1,word2,prediction
72,approach,trench,-1.0205104891210794
73,approval,encouragement,-0.8388004750013351
74,approving,interaction,-1.0445648171007633
75,aquarium,coin,-0.9440343976020813
76,arch,brick,-0.6649087369441986
77,arch,roof,-0.758462443947792
78,architecture,urban,-0.7575380206108093
79,area,space,-0.7996413558721542
80,argument,evidence,-0.6401301324367523
81,arm,bicycle,-0.8437026888132095
82,arm,television,-0.8707655072212219
83,arrange,discard,-0.772017702460289
84,arrange,study,-1.0244684983044863
85,arrangement,blizzard,-1.0543734356760979
86,arrangement,room,-0.8928240239620209
87,art,craft,-0.7587913870811462
88,art,gem,-0.7741927653551102
89,art,museum,-0.34681087732315063
90,art,painting,-0.3709253668785095
91,article,cup,-0.9677777402102947
92,article,girl,-0.9510595053434372
93,ash,bone,-0.9249001294374466
94,ash,coil,-0.9713098034262657
95,asphalt,crane,-0.9830487202852964
96,asphalt,water,-0.8317931741476059
97,assets,exclude,-0.7795125395059586
98,association,organization,-0.5263692438602448
99,association,realtor,-0.8002418577671051
100,asylum,dollar,-1.0002072350034723
101,asylum,shelter,-0.6978503167629242
102,athletics,racing,-0.7173976600170135
103,athletics,swimming,-0.4398929476737976
104,attempt,give,-0.7738188058137894
105,attempt,initiate,-0.7749141156673431
106,attitude,notice,-0.9143092036247253
107,attitude,study,-0.9075831919908524
108,attorney,lawyer,-0.25622451305389404
109,auto,bright,-1.011975172907114
110,automobile,fabric,-0.8701223433017731
111,automobile,racing,-0.6465610563755035
112,autumn,foliage,-0.5602225065231323
113,autumn,hat,-0.9510034583508968
114,autumn,sunshine,-0.6220238506793976
115,autumn,winter,-0.3842918276786804
116,award,citation,-0.6281778514385223
117,baby,treat,-0.8347655087709427
118,back,lumbar,-0.8771792352199554
119,back,shifting,-0.8568263202905655
120,bacon,bread,-0.6347706019878387
121,bacon,pepper,-0.657660722732544
122,bacon,salad,-0.6310586929321289
123,bacon,tomato,-0.621088832616806
124,bacon,wild,-0.9193815439939499
125,bag,cop,-0.9823806900531054
126,bag,flag,-0.916179858148098
127,bakery,cake,-0.6835343837738037
128,bakery,vehicle,-0.972124096006155
129,balance,gauge,-0.9122563526034355
130,banana,salad,-0.7285519540309906
131,band,guitar,-0.48384416103363037
132,band,metal,-0.5144592821598053
133,band,play,-0.8718887120485306
134,band,uniform,-0.9273364916443825
135,band,vinyl,-0.6783241927623749
136,bank,smell,-1.1011782139539719
137,bankruptcy,enterprise,-0.8650998175144196
138,bar,diner,-0.6494833528995514
139,bar,ship,-0.9007332697510719
140,bar,stair,-0.9525023922324181
141,bar,sushi,-0.5889115631580353
142,barn,food,-0.8817649185657501
143,barrel,gallon,-0.5327325165271759
144,base,club,-0.8859864622354507
145,baseball,born,-0.926180511713028
146,baseball,cactus,-0.7916359752416611
147,baseball,game,-0.5787705779075623
148,baseball,hockey,-0.4530869126319885
149,baseball,season,-0.6596511900424957
150,basket,dinner,-0.8801219537854195
151,basketball,lesson,-0.8363390564918518
152,basketball,squash,-0.6229169964790344
153,bat,bats,-0.3363180160522461
154,bath,bedroom,-0.6288242936134338
155,bath,floor,-0.8087076395750046
156,bath,hot,-0.7014347910881042
157,bath,sleep,-0.8120889514684677
158,bathroom,chamber,-0.9238594472408295
159,bay,curve,-0.9279460236430168
160,bay,harbour,-0.5656639337539673
161,beach,cliff,-0.7381588816642761
162,beach,pebble,-0.5603506565093994
163,bead,chess,-0.959349911659956
164,bead,gold,-0.8559646606445312
165,bead,redhead,-0.8243722766637802
166,beam,column,-0.8263213485479355
167,beard,hair,-0.3796183466911316
168,beat,meter,-0.8753094151616096
169,bed,candy,-0.9226747378706932
170,bed,floor,-0.6551867723464966
171,bed,furniture,-0.7116147577762604
172,bed,layer,-0.8516094535589218
173,bed,pillow,-0.535247415304184
174,bed,relax,-0.76779605448246
175,bed,sitting,-0.6053469777107239
176,bed,staircase,-0.759119302034378
177,bedroom,canyon,-0.8730330169200897
178,bedroom,ceiling,-0.6712832450866699
179,bedroom,cell,-0.7846128046512604
180,bedroom,construction,-0.9480894468724728
181,bedroom,door,-0.5659474730491638
182,bedroom,downtown,-0.8015715628862381
183,bedroom,room,-0.4099244475364685
184,bedroom,stair,-0.8431241512298584
185,bedroom,staircase,-0.6339931488037109
186,beef,chicken,-0.35034728050231934
187,beef,lamb,-0.48885440826416016
188,beef,pepper,-0.7204391360282898
189,beef,potato,-0.5877171158790588
190,beer,patio,-0.8845364898443222
191,beer,wild,-0.8360721617937088
192,being,characters,-0.8565008789300919
193,believe,week,-0.9378012679517269
194,belly,black,-0.7676583230495453
195,belly,dance,-0.7281538546085358
196,belly,dark,-0.7258384525775909
197,belly,field,-1.0109624546021223
198,belly,stripe,-0.6843209564685822
199,bench,game,-0.6696146428585052
200,benefited,get,-0.95513866096735
201,bent,double,-0.885169267654419
202,bent,inclination,-0.8402159810066223
203,berlin,germany,-0.4077816605567932
204,berry,blossom,-0.7062976956367493
205,berry,bright,-0.7847214937210083
206,berry,dessert,-0.7451612949371338
207,berry,ivy,-0.6825052201747894
208,berry,raspberry,-0.5358664691448212
209,berry,seed,-0.8103755563497543
210,berry,sweet,-0.6518150568008423
211,bias,prejudice,-0.4293922781944275
212,bible,misty,-1.008767661638558
213,bicycle,green,-0.9384692907333374
214,bigger,large,-0.6360128223896027
215,bike,chopper,-0.7758219540119171
216,bikini,ivy,-0.8657492101192474
217,bin,cup,-0.9373455122113228
218,bird,cock,-0.7429085969924927
219,bird,dragonfly,-0.7549870610237122
220,bird,flamingo,-0.7697970420122147
221,bird,goose,-0.6438161432743073
222,bird,insect,-0.625665932893753
223,bird,reptile,-0.5867982506752014
224,bird,shade,-0.9503057897090912
225,bird,solid,-1.0725023299455643
226,bishop,priest,-0.34580177068710327
227,bishop,radical,-1.0062415595166385
228,bishop,wine,-0.9361755028367043
229,bit,curb,-0.9498476758599281
230,bit,tool,-0.962257906794548
231,bitter,taste,-0.7007003426551819
232,black,blue,-0.4989340305328369
233,black,bright,-0.6285774111747742
234,black,brown,-0.5040667653083801
235,black,cigarette,-0.965873833745718
236,black,juvenile,-0.9146760851144791
237,black,skirt,-0.6685084104537964
238,black,white,-0.32314151525497437
239,blast,smashing,-0.8038028329610825
240,blaze,pig,-0.9605070389807224
241,blessing,patronage,-0.7124468684196472
242,blizzard,rash,-0.8211805820465088
243,block,hinder,-0.7676316052675247
244,blonde,haircut,-0.6784468293190002
245,blonde,wig,-0.5338411033153534
246,bloom,flower,-0.5880622267723083
247,bloom,friend,-0.7717273384332657
248,bloom,plant,-0.7785058915615082
249,bloom,purple,-0.6649327278137207
250,blossom,bud,-0.7615526020526886
251,blossom,cherry,-0.4032096862792969
252,blossom,daisy,-0.6864161789417267
253,blossom,foliage,-0.6395353972911835
254,blossom,orange,-0.6625523269176483
255,blossom,petal,-0.6221005320549011
256,blossom,purple,-0.7043565809726715
257,blow,contact,-1.0110910031944513
258,blow,swat,-0.9440009482204914
259,blowing,smoking,-0.8610974550247192
260,blue,colour,-0.5990636646747589
261,blue,happy,-0.8660947531461716
262,blue,report,-0.9727307260036469
263,blue,shade,-0.6885268092155457
264,blue,skirt,-0.6855534315109253
265,blues,rhythm,-0.5326700508594513
266,blur,focus,-0.8770439252257347
267,blur,metro,-1.0469539277255535
268,board,deal,-0.9458103887736797
269,boardwalk,park,-0.6894145309925079
270,boast,complain,-0.7504008114337921
271,boat,negro,-1.0537293553352356
272,boat,shore,-0.6114512979984283
273,bold,forward,-0.8876038864254951
274,bold,leader,-0.8680119961500168
275,bone,skull,-0.4609147310256958
276,book,building,-0.9723525159060955
277,book,smoking,-0.96162249147892
278,booklet,reference,-0.7780250459909439
279,boot,kick,-0.7714575380086899
280,boot,punch,-0.8095890283584595
281,bootleg,produce,-0.8423523753881454
282,bootleg,whiskey,-0.6187663376331329
283,born,construction,-1.0423632189631462
284,born,mother,-0.5383767187595367
285,born,subway,-1.0406597293913364
286,bottle,wine,-0.4997091293334961
287,bound,line,-0.8591641336679459
288,bound,skirt,-0.8639461994171143
289,bowling,wheel,-0.9596959836781025
290,boxer,stair,-0.8835936188697815
291,boxing,hit,-0.9688662961125374
292,boy,hand,-0.8029650002717972
293,boy,live,-0.8617250025272369
294,bracelet,jewelry,-0.5799363553524017
295,bracelet,mountain,-1.167244777083397
296,brain,head,-0.8247205168008804
297,brake,click,-0.9351456835865974
298,branch,tea,-0.9058464393019676
299,brass,executive,-0.9620468355715275
300,brazil,nut,-0.9188772067427635
301,brazil,triple,-0.9052552506327629
302,bread,bun,-0.6369809806346893
303,bread,cooking,-0.5704316198825836
304,bread,cover,-0.9043624922633171
305,bread,dessert,-0.555633932352066
306,bread,egg,-0.5971467196941376
307,bread,medicine,-0.9053533151745796
308,break,glittering,-0.9841497484594584
309,break,scattered,-0.9744672924280167
310,breakfast,diner,-0.5464407503604889
311,breakfast,evening,-0.5758601129055023
312,breakfast,lunch,-0.34268397092819214
313,breakfast,makeup,-0.9890649951994419
314,breakfast,morning,-0.5674735605716705
315,breakfast,people,-0.8805677071213722
316,breakfast,relax,-0.7839357107877731
317,brick,cement,-0.6029096841812134
318,brick,construction,-0.5946128964424133
319,brick,skyscraper,-0.6496771275997162
320,bride,photographer,-0.9239170178771019
321,bright,dark,-0.4494186043739319
322,bright,fruit,-0.7280687093734741
323,bright,mist,-0.766302227973938
324,bright,raspberry,-0.800237774848938
325,bright,shade,-0.5416408479213715
326,bright,sky,-0.5764351487159729
327,bring,presenting,-1.0322506204247475
328,bring,return,-0.5872239172458649
329,broadcast,packet,-0.8398749083280563
330,bronze,sculpture,-0.5354617238044739
331,bronze,suspicion,-1.023035604506731
332,brown,green,-0.5513500273227692
333,brown,hawk,-0.8052855283021927
334,brown,purple,-0.6358988583087921
335,brown,white,-0.5314694941043854
336,brussels,sweden,-0.8469667583703995
337,bucket,water,-0.70016148686409
338,bud,flower,-0.7118170261383057
339,bud,ivy,-0.8727920204401016
340,budget,fund,-0.6719910502433777
341,budget,scale,-0.9222459495067596
342,bug,insect,-0.5483227670192719
343,building,cafe,-0.8360945880413055
344,building,construction,-0.38103413581848145
345,building,downtown,-0.5319516658782959
346,building,floor,-0.5609079599380493
347,building,ministry,-0.812314510345459
348,building,tall,-0.7549726366996765
349,building,zombie,-1.092700943350792
350,burger,cooking,-0.8982003629207611
351,burger,dessert,-0.7861467450857162
352,burger,salad,-0.6895274817943573
353,burger,soup,-0.6273964941501617
354,burn,fire,-0.6626543402671814
355,burn,ripple,-0.9281196817755699
356,bus,rail,-0.4634493589401245
357,business,railway,-0.8718511462211609
358,butter,stick,-0.7011481523513794
359,butterfly,caterpillar,-0.8254629075527191
360,butterfly,dragonfly,-0.5618880391120911
361,butterfly,glittering,-0.9306076765060425
362,button,sticker,-0.839822843670845
363,cafe,child,-0.9739328473806381
364,cafe,coffee,-0.5156958699226379
365,cafe,dinner,-0.599442720413208
366,cafe,donut,-0.7305638492107391
367,cafe,lunch,-0.6269098222255707
368,cafe,pub,-0.4828975796699524
369,cafe,reflection,-0.9909257935360074
370,cafe,relax,-0.8444343507289886
371,cafe,shop,-0.5186201333999634
372,cafe,spiral,-1.0348117016255856
373,cake,christmas,-0.6727806925773621
374,call,meeting,-0.7001504600048065
375,call,statement,-0.7314963936805725
376,call,telephone,-0.5545063614845276
377,camel,desert,-0.7354202568531036
378,camp,camp,0.0
379,campaign,conspiracy,-0.8663009852170944
380,can,sketch,-0.990966840647161
381,candidate,republic,-0.8456380367279053
382,canine,dog,-0.48076021671295166
383,canyon,landscape,-0.8687627166509628
384,canyon,river,-0.5473568141460419
385,car,insurance,-0.8678677380084991
386,car,pig,-0.957340657711029
387,car,skull,-0.9166001975536346
388,card,playing,-0.804268091917038
389,card,see,-0.9859119141474366
390,carrier,carrier,0.0
391,carrier,traveler,-0.9473290555179119
392,carrier,vehicle,-0.7859266698360443
393,carrot,memorial,-1.1024838387966156
394,carrot,salad,-0.6045722365379333
395,cart,wagon,-0.621721088886261
396,cartoon,wit,-0.9111405164003372
397,case,clients,-0.8413068056106567
398,cast,cast,0.0
399,cast,shoot,-0.9271477535367012
400,castle,patio,-0.855991393327713
401,castle,ruin,-0.7365803420543671
402,cat,garden,-0.9612067304551601
403,catch,catching,-0.35571759939193726
404,catch,hooks,-0.7229234576225281
405,catching,perceive,-0.9162657633423805
406,catching,playing,-0.756238117814064
407,category,flavor,-0.9944388843141496
408,catering,loan,-0.9378475546836853
409,caterpillar,paint,-0.8657753318548203
410,cathedral,step,-1.0333020091056824
411,cattle,goat,-0.4940834641456604
412,cattle,web,-1.0942735075950623
413,cautious,film,-1.036653608083725
414,ceiling,marble,-0.6571196615695953
415,ceiling,mug,-0.9539698287844658
416,ceiling,room,-0.6261492967605591
417,ceiling,staircase,-0.5613916218280792
418,ceiling,wall,-0.6586514413356781
419,cell,membrane,-0.46307069063186646
420,cemetery,grave,-0.45950233936309814
421,cemetery,memorial,-0.45576995611190796
422,center,center,0.0
423,center,refer,-0.9382509961724281
424,century,period,-0.5874477028846741
425,century,temperature,-0.9236364215612411
426,ceramic,floor,-0.7982465922832489
427,chance,fortune,-0.8503933101892471
428,chance,opportunity,-0.3159419298171997
429,chance,ring,-0.9662703648209572
430,change,laundering,-1.0399232022464275
431,change,transforming,-0.7689300179481506
432,change,yielding,-0.982651598751545
433,channel,sound,-0.8965713307261467
434,chaos,death,-0.8213099986314774
435,chapel,porch,-0.6024225354194641
436,chapel,ruin,-0.8341450244188309
437,charcoal,fuel,-0.7993835657835007
438,charge,damage,-0.8740637004375458
439,charge,sentence,-0.6928935050964355
440,checked,checked,0.0
441,cheer,musician,-1.0036766910925508
442,cheese,food,-0.699579268693924
443,cheetah,flame,-0.9588883332908154
444,chemical,intermediate,-0.7954196482896805
445,chemistry,patient,-0.9352301210165024
446,cherry,fruit,-0.5465126633644104
447,cherry,grape,-0.5163120925426483
448,cherry,lamb,-0.8317032009363174
449,cherry,meat,-0.9348873347043991
450,cherry,orange,-0.6191041469573975
451,cherry,raspberry,-0.4781535267829895
452,chess,family,-1.0181443430483341
453,chess,toy,-0.874760702252388
454,chicken,lamb,-0.46533381938934326
455,chicken,poultry,-0.40471571683883667
456,chief,guru,-0.8354336619377136
457,child,lad,-0.9127712398767471
458,child,street,-0.9471642524003983
459,chile,plate,-0.7961558252573013
460,chocolate,rock,-0.9023687019944191
461,choice,option,-0.4852387309074402
462,chopper,poppy,-1.0069889379665256
463,chord,play,-0.9814289081841707
464,christmas,valentine,-0.5985424816608429
465,church,porch,-0.6977218985557556
466,church,temple,-0.6195375025272369
467,circle,oval,-0.8104236721992493
468,circle,sport,-1.0035051694139838
469,city,round,-0.8694107681512833
470,city,ruin,-0.8963136598467827
471,city,sidewalk,-0.8909822031855583
472,city,square,-0.677008181810379
473,city,urban,-0.6210603713989258
474,class,sex,-0.9300498813390732
475,cliff,coast,-0.8471139073371887
476,cliff,harbour,-0.7771426141262054
477,cliff,waterfall,-0.5759944319725037
478,clinic,session,-0.9510676376521587
479,clock,timer,-0.5185330808162689
480,close,short,-0.8319627046585083
481,closed,closed,0.0
482,closed,state,-0.8447429984807968
483,closed,up,-0.6714951395988464
484,closing,closing,0.0
485,closing,finale,-0.8007511645555496
486,clothes,short,-0.9375081993639469
487,cloud,energy,-0.9493852965533733
488,club,hockey,-0.5940439999103546
489,club,shirt,-0.7724276483058929
490,clubhouse,pop,-1.0334445089101791
491,clue,parish,-1.054348025470972
492,coast,scenery,-0.8887006491422653
493,coast,sunk,-0.6569876968860626
494,coast,zebra,-0.9528921544551849
495,coat,resurfacing,-1.0085639636963606
496,coat,roof,-0.7496546506881714
497,cock,penis,-0.8523028641939163
498,cocktail,garage,-0.9387139678001404
499,cocktail,restaurant,-0.7010223567485809
500,coffee,meeting,-0.8185679614543915
501,coffee,tea,-0.35802626609802246
502,coin,gold,-0.6688411831855774
503,coin,silver,-0.6147073209285736
504,coin,ticket,-0.7751911729574203
505,cold,mist,-0.7439881265163422
506,cold,rain,-0.6447758078575134
507,cold,silver,-0.9765369668602943
508,cold,sunny,-0.6450948417186737
509,cold,sunshine,-0.6787140667438507
510,cold,water,-0.6681229472160339
511,cold,weather,-0.5090009868144989
512,cold,winter,-0.5362325012683868
513,coldness,cool,-0.8453198969364166
514,collage,exhibition,-0.6947487592697144
515,collage,paint,-0.669623464345932
516,collage,sculpture,-0.5210535824298859
517,collage,stream,-0.903286024928093
518,collapse,shock,-0.6846222579479218
519,collar,tiger,-0.9529264718294144
520,collect,collect,0.0
521,collect,scrape,-0.721888393163681
522,collection,library,-0.49615639448165894
523,collection,packet,-0.9719544723629951
524,color,quality,-0.7340691387653351
525,color,wash,-0.7851596921682358
526,colorful,outfit,-0.7609910070896149
527,colorful,shot,-1.0748108848929405
528,colorful,toy,-0.8106923997402191
529,colorful,wood,-0.878290556371212
530,colors,emblem,-0.5395994782447815
531,colour,grey,-0.5210188329219818
532,colour,shade,-0.6259673833847046
533,comfort,relief,-0.8053700029850006
534,comment,mention,-0.6236543953418732
535,commercial,manufacture,-0.7234140336513519
536,commitment,guarantee,-0.5830211043357849
537,communication,theater,-0.960184782743454
538,compact,short,-0.8830598294734955
539,company,distributor,-0.5452227294445038
540,compartment,stalls,-0.8663183152675629
541,compatible,software,-0.5867136418819427
542,competes,race,-0.8971691057085991
543,compound,enhance,-0.9898648392409086
544,compound,whole,-0.9324018731713295
545,computer,lab,-0.5538151264190674
546,computer,number,-0.8749809414148331
547,computer,platform,-0.8746984601020813
548,computer,railway,-1.0427366569638252
549,concentration,focus,-0.787725105881691
550,concert,jazz,-0.5966399908065796
551,concert,sing,-0.6256379783153534
552,concerts,settle,-1.0551407113671303
553,conclusion,judgment,-0.6304481029510498
554,conclusion,situation,-0.8031001836061478
555,concoct,request,-0.9746941290795803
556,concrete,interior,-0.8418589234352112
557,concrete,pin,-0.9448381401598454
558,cone,palm,-1.0326018556952477
559,congress,sex,-0.9968764509540051
560,connection,keyboard,-0.8689635843038559
561,consequences,position,-1.0067748404107988
562,consistency,phase,-0.9660975746810436
563,construction,downtown,-0.7222217321395874
564,construction,interior,-0.7659893333911896
565,contact,print,-0.8765022456645966
566,control,driving,-0.8203698545694351
567,cooking,dessert,-0.639932781457901
568,cooking,eat,-0.6475705802440643
569,cooking,food,-0.549570232629776
570,cooking,frozen,-0.8755421340465546
571,cooking,salad,-0.7015493810176849
572,cool,cool,0.0
573,cool,jazz,-0.8485129177570343
574,cool,state,-1.0043922802433372
575,cop,dirty,-0.7171164453029633
576,cop,music,-1.0212772823870182
577,cop,ruin,-1.021376695483923
578,cord,eclipse,-0.9706756826490164
579,corn,pepper,-0.6947034895420074
580,cost,price,-0.4734700322151184
581,costume,halloween,-0.5544067025184631
582,costume,radiation,-1.0012743899133056
583,cottage,patio,-0.6765534579753876
584,council,minister,-0.8049240261316299
585,count,investigation,-0.9018780216574669
586,count,number,-0.8126927614212036
587,counter,furniture,-0.9489122219383717
588,counter,negative,-0.8076595067977905
589,couple,family,-0.5836278796195984
590,couple,makeup,-0.9257100000977516
591,couple,race,-0.8484335541725159
592,cousin,relation,-0.8639694303274155
593,cover,feather,-0.9771954324096441
594,cover,sleeve,-0.6823266446590424
595,covering,skin,-0.8001573085784912
596,cowboys,ranch,-0.7451639473438263
597,crack,cracking,-0.33947938680648804
598,cracking,noise,-0.7965337187051773
599,cracking,sound,-0.8880214393138885
600,craft,game,-0.9722811412066221
601,crane,stair,-0.777666911482811
602,crash,swing,-1.0468802973628044
603,creation,stitch,-0.9884073808789253
604,credit,flap,-0.9597566686570644
605,credit,foundation,-0.9442142508924007
606,crew,unit,-0.8343915194272995
607,critic,reviewers,-0.6358112692832947
608,crochet,family,-1.0074252560734749
609,crochet,jewelry,-0.8897315189242363
610,crochet,knitting,-0.4570746421813965
611,cross,mug,-0.9989014304010198
612,cross,post,-0.822932243347168
613,cross,pub,-0.895249605178833
614,cross,shopping,-0.9832160416990519
615,crush,push,-0.7351066172122955
616,crush,split,-0.9305239617824554
617,crystal,spiral,-0.8255913108587265
618,cube,dice,-0.7307645678520203
619,cup,handbag,-1.1014314964413643
620,curb,smother,-0.7738430202007294
621,curb,train,-0.9139924645423889
622,current,flow,-0.7743411362171173
623,cut,gore,-0.9151184484362602
624,cute,fashion,-0.8072911947965622
625,cute,friend,-0.8097605854272842
626,cute,fun,-0.5244993269443512
627,cute,haircut,-0.7283202707767487
628,cylinder,pen,-0.9032855182886124
629,daisy,foliage,-0.8260021358728409
630,daisy,grass,-0.8605603724718094
631,daisy,petal,-0.7122742831707001
632,dance,hotel,-0.9196668937802315
633,dandelion,foliage,-0.6969576179981232
634,dandelion,grass,-0.7369242310523987
635,dandelion,petal,-0.682749480009079
636,danger,status,-0.8455197364091873
637,dark,flamingo,-1.041810940951109
638,dark,pod,-0.834415391087532
639,dark,white,-0.5845538377761841
640,dashboard,protection,-0.9418619647622108
641,daughter,graphic,-1.0183497462421656
642,daughter,pub,-0.902325339615345
643,dawn,day,-0.6613481938838959
644,day,glide,-1.0601266399025917
645,day,horse,-0.8743373155593872
646,day,independence,-0.8813498839735985
647,day,night,-0.4804490804672241
648,day,sunny,-0.8035808652639389
649,day,sunset,-0.7872296422719955
650,day,weather,-0.785265788435936
651,dead,sidewalk,-0.8641401827335358
652,deaf,people,-0.8359076380729675
653,death,funeral,-0.6207697689533234
654,decision,option,-0.7361420094966888
655,decoration,tulip,-0.8974398523569107
656,defeat,ending,-0.7404397130012512
657,defeated,people,-1.0013492084108293
658,degree,quantity,-0.8175839185714722
659,demand,supply,-0.5423220992088318
660,demolition,interior,-0.9133672937750816
661,demolition,skyscraper,-0.750062957406044
662,demolition,tall,-0.9438786953687668
663,desert,mountain,-0.5602339804172516
664,deserve,merit,-0.6723320782184601
665,deserve,want,-0.5503521859645844
666,design,graphic,-0.6986083090305328
667,design,orange,-0.9878922468051314
668,designation,recognition,-0.7376757264137268
669,designs,intend,-1.0352627784013748
670,dessert,head,-1.0589541792869568
671,dessert,salad,-0.44747793674468994
672,determination,selection,-0.9207008257508278
673,development,twist,-1.0429517924785614
674,diamond,parade,-0.9029312431812286
675,diamond,short,-1.017303191125393
676,diamond,stencil,-0.9656404368579388
677,difficulty,problem,-0.5734682083129883
678,digit,toe,-0.8687896728515625
679,dilute,market,-0.9227017760276794
680,dinner,sitting,-0.7110902965068817
681,dinner,sleep,-0.8106628656387329
682,direction,direction,0.0
683,direction,traveling,-0.8422666490077972
684,dirt,racing,-0.680593729019165
685,dirt,road,-0.6109821200370789
686,dirt,sand,-0.5533365309238434
687,dirty,dude,-0.7721269130706787
688,dirty,rabbit,-0.8594525307416916
689,dirty,washing,-0.6484194397926331
690,discharge,spread,-0.9829526599496603
691,discipline,discipline,0.0
692,disk,dot,-0.8806029111146927
693,display,stick,-0.9044210761785507
694,dissipate,isolate,-0.808575302362442
695,distinction,sword,-0.8490923047065735
696,distinguish,medal,-1.0230295825749636
697,distinguish,sex,-0.9673200845718384
698,disturbance,upset,-0.9039545580744743
699,diversion,skiing,-0.934459313750267
700,dock,herb,-1.0146356504410505
701,dog,husky,-0.7636186331510544
702,dog,secretary,-1.062293242663145
703,doll,new,-0.9724195748567581
704,dome,interior,-0.8026200383901596
705,dome,uniform,-1.007390161510557
706,donut,panda,-0.9406408965587616
707,door,interior,-0.7664976119995117
708,door,porch,-0.5134332180023193
709,door,room,-0.5064092874526978
710,downtown,field,-0.9663542211055756
711,downtown,hockey,-0.9213478267192841
712,downtown,ruin,-0.87413290143013
713,downtown,shopping,-0.5275991559028625
714,downtown,subway,-0.615852564573288
715,drag,drawing,-0.9555209688842297
716,dragon,drop,-1.00623290380463
717,dragonfly,frog,-0.606345534324646
718,dragonfly,insect,-0.5755651593208313
719,draw,draw,0.0
720,draw,entertainer,-1.1037174686789513
721,dress,match,-0.9535986930131912
722,dress,neckline,-0.5448523461818695
723,dress,outfit,-0.5336690545082092
724,dressing,patch,-0.9324363619089127
725,drill,implement,-0.8686414361000061
726,drink,turn,-0.8859560340642929
727,dripping,hot,-0.7692253440618515
728,dripping,round,-1.0078536933287978
729,dripping,wet,-0.6285912394523621
730,drive,drive,0.0
731,drive,operate,-0.8435834795236588
732,drop,drop,0.0
733,drop,measure,-0.8334891200065613
734,drop,sink,-0.8096590489149094
735,dropping,dropping,0.0
736,drought,time,-0.9087764322757721
737,drug,reflection,-1.0673437714576721
738,drug,sing,-0.9707467574626207
739,drug,wolf,-1.0003511377144605
740,dude,fun,-0.7273177206516266
741,dude,hanging,-0.9528724476695061
742,dude,sitting,-0.8829255029559135
743,dude,smile,-0.8285445272922516
744,dusk,hummingbird,-0.9333394914865494
745,dusk,misty,-0.7273639142513275
746,dye,kiss,-0.9121904298663139
747,eagle,feather,-0.6190020442008972
748,ear,organ,-0.7091278731822968
749,earn,make,-0.7601708173751831
750,ease,relaxation,-0.5781759321689606
751,ease,rest,-0.8299748748540878
752,east,israel,-0.731321394443512
753,easter,preference,-1.0162594337016344
754,eat,rabbit,-0.7966794967651367
755,eat,soup,-0.6572538912296295
756,eat,truck,-0.9252136796712875
757,educated,learned,-0.76090207695961
758,effects,effects,0.0
