%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
CONTRADICTION	( There ( is ( no ( boy ( ( ( playing outdoors ) and ) ( there ( is ( ( no man ) smiling ) ) ) ) ) ) ) )	( ( The ( young boys ) ) ( are ( playing ( ( ( outdoors and ) ( the man ) ) ( is ( smiling nearby ) ) ) ) ) )	3.6	4
CONTRADICTION	( Nobody ( is ( playing ( the guitar ) ) ) )	( ( A man ) ( is ( playing ( the guitar ) ) ) )	3.7	3258
NEUTRAL	( ( A kid ) ( is ( playing guitar ) ) )	( ( A woman ) ( is ( playing ( an ( electric guitar ) ) ) ) )	3	9931
NEUTRAL	( ( The ( tall person ) ) ( is ( ( setting fire ) ( to ( the cameras ) ) ) ) )	( ( A person ) ( is ( ( burning ( some cameras ) ) ( with ( a ( blow torch ) ) ) ) ) )	3.8	2362
ENTAILMENT	( ( One man ) ( is ( riding ( a horse ) ) ) )	( ( A man ) ( is ( riding ( a horse ) ) ) )	4.7	4079
NEUTRAL	( ( ( ( A man ) and ) ( a woman ) ) ( are ( ( driving down ) ( ( the street ) ( in ( a jeep ) ) ) ) ) )	( ( ( ( A man ) and ) ( a woman ) ) ( are ( ( driving down ) ( ( the road ) ( in ( an ( open-air vehicle ) ) ) ) ) ) )	4	5904
ENTAILMENT	( ( ( ( A man ) and ) ( ( two women ) ( in ( a ( dark room ) ) ) ) ) ( are ( sitting ( at ( ( a table ) ( with candles ) ) ) ) ) )	( ( ( The group ) ( of people ) ) ( is ( sitting ( in ( a ( dim room ) ) ) ) ) )	3.6	7471
NEUTRAL	( ( A ( little boy ) ) ( ( ( is ( wearing ( a ( yellow ( tank top ) ) ) ) ) and ) ( is laughing ) ) )	( ( A ( laughing boy ) ) ( ( ( is ( in ( a ( yellow tank ) ) ) ) and ) ( is ( wearing ( a top ) ) ) ) )	3.5	6450
NEUTRAL	( ( A woman ) ( is ( slicing potatoes ) ) )	( ( A horse ) ( is ( being ( ridden ( by ( a person ) ) ) ) ) )	1	5920
NEUTRAL	( ( A man ) ( is ( ( ( ( skiing down ) ( a hill ) ) and ) ( jumping ( a ( red obstacle ) ) ) ) ) )	( ( A man ) ( is ( ( snowboarding down ) ( ( a railing ) ( in ( the snow ) ) ) ) ) )	3.1	9287
NEUTRAL	( ( A woman ) ( is ( ( ( dancing and ) singing ) ( with ( other women ) ) ) ) )	( ( A woman ) ( is ( ( ( dancing and ) singing ) ( in ( the rain ) ) ) ) )	4.1	1241
NEUTRAL	( ( ( A ( grey ( silky dog ) ) ) ( is ( lying ( in ( ( ( the grass ) and ) ( a ( brown dog ) ) ) ) ) ) ) ( is ( looking on ) ) )	( ( The ( brown dog ) ) ( is ( spotting ( ( a ( black dog ) ) ( lying ( in ( the ( dry grass ) ) ) ) ) ) ) )	3.2	8558
ENTAILMENT	( ( A man ) ( is ( ( ( singing and ) playing ) ( a guitar ) ) ) )	( ( A man ) ( is ( ( ( singing and ) playing ) ( a ( musical instrument ) ) ) ) )	4.5	4916
CONTRADICTION	( There ( is ( ( no woman ) ( ( ( using ( an ( eye pencil ) ) ) and ) ( ( applying ( eye liner ) ) ( to ( her eyelid ) ) ) ) ) ) )	( ( A woman ) ( is ( ( applying cosmetics ) ( to ( her eyelid ) ) ) ) )	3.1	3123
NEUTRAL	( ( A ( laughing child ) ) ( is ( ( ( holding ( a ( water gun ) ) ) and ) ( getting ( sprayed ( with water ) ) ) ) ) )	( ( ( A person ) ( in ( a ( blue jacket ) ) ) ) ( is ( jumping ( onto ( a ( tall ( cement wall ) ) ) ) ) ) )	1.1	9759
NEUTRAL	( ( The person ) ( is ( ( setting fire ) ( to ( the cameras ) ) ) ) )	( ( ( A person ) ( by ( some cameras ) ) ) ( is ( blowing ( on ( a ( burning torch ) ) ) ) ) )	3.3	2366
NEUTRAL	( ( ( ( ( A biker ) ( with ( ( ( ( ( a ( blue jacket ) ) , ) ( black pants ) ) and ) ( a ( white helmet ) ) ) ) ) ( is ( driving ( on dirt ) ) ) ) and ) ( people ( are watching ) ) )	( ( ( The rider ) ( on ( the ( blue ( and ( black ( motocross bike ) ) ) ) ) ) ) ( ( is not ) ( wearing ( the pants ) ) ) )	3.2	7044
NEUTRAL	( ( ( A group ) ( of ( football players ) ) ) ( is ( ( standing still ) ( in ( the field ) ) ) ) )	( ( The crowd ) ( is ( watching ( a ( football game ) ) ) ) )	2.6	7088
CONTRADICTION	( ( A man ) ( is drawing ) )	( There ( is ( no ( man drawing ) ) ) )	3.8	4321
NEUTRAL	( ( ( A ( few men ) ) ( in ( a competition ) ) ) ( are ( running outside ) ) )	( ( A ( few men ) ) ( are ( ( running competitions ) outside ) ) )	3.9	718
NEUTRAL	( ( ( A boy ) ( in ( a ( white t-shirt ) ) ) ) ( is ( splashing ( in ( shallow water ) ) ) ) )	( ( A boy ) ( is ( running ( through ( ( the water ) ( at ( the beach ) ) ) ) ) ) )	3.5	7951
CONTRADICTION	( ( The man ) ( ( is not ) ( stirring ( ( the sauce ) ( for ( the chicken ) ) ) ) ) )	( ( The man ) ( is ( stirring ( ( the sauce ) ( for ( the chicken ) ) ) ) ) )	4	1487
ENTAILMENT	( ( A person ) ( is ( playing ( a ( ( guitar and ) singing ) ) ) ) )	( ( One person ) ( is ( playing ( the ( ( guitar and ) singing ) ) ) ) )	4.9	1964
NEUTRAL	( ( A woman ) ( is ( planting ( some flowers ) ) ) )	( ( A woman ) ( is ( cutting broccoli ) ) )	1.2	1525
NEUTRAL	( ( A keyboard ) ( is ( being ( played ( by ( a man ) ) ) ) ) )	( ( A man ) ( is ( playing ( a harp ) ) ) )	2.4	4638
ENTAILMENT	( Someone ( is ( cooking ( okra ( in ( a pan ) ) ) ) ) )	( Okra ( is ( being ( cooked ( in ( a pan ) ) ) ) ) )	4.9	3536
NEUTRAL	( ( A dog ) ( is ( playing ( with ( a toy ) ) ) ) )	( ( A dog ) ( is ( eating ( a doll ) ) ) )	3.6	4191
NEUTRAL	( ( A guy ) ( is ( leaping ( into ( ( the air ) ( in wood ) ) ) ) ) )	( ( A guy ) ( is ( leaping ( into ( ( the air ) ( in ( a ( wooded area ) ) ) ) ) ) ) )	4.3	9211
NEUTRAL	( ( A dog ) ( is ( jumping ( in ( ( the shade ) ( of ( some trees ) ) ) ) ) ) )	( ( A dog ) ( is ( jumping ( into ( ( the air ) ( in ( the country ) ) ) ) ) ) )	3.7	9452
ENTAILMENT	( ( A child ) ( is ( ( running ( ( in and ) out ) ) ( of ( the ( ocean waves ) ) ) ) ) )	( ( A child ) ( is ( ( running ( ( in and ) out ) ) ( of ( ( the waves ) ( of ( the ocean ) ) ) ) ) ) )	4.9	3275
ENTAILMENT	( ( A woman ) ( ( ( is ( using ( ( a pencil ) ( for eyes ) ) ) ) and ) ( is ( ( applying ( eye liner ) ) ( to ( her eyelid ) ) ) ) ) )	( ( A woman ) ( is ( ( applying cosmetics ) ( to ( her eyelid ) ) ) ) )	4.6	3122
NEUTRAL	( ( ( ( ( A biker ) ( with ( ( ( ( ( a ( blue jacket ) ) , ) ( black pants ) ) and ) ( a ( white helmet ) ) ) ) ) ( is ( driving ( on dirt ) ) ) ) and ) ( people ( are watching ) ) )	( ( The ( motocross rider ) ) ( is ( standing naked ) ) )	2.6	7043
NEUTRAL	( ( The person ) ( ( is not ) ( standing ( on ( white ice ) ) ) ) )	( ( A person ) ( is ( standing ( in ( ( a ( vast field ) ) ( of ( glacial ice ) ) ) ) ) ) )	3.1	6482
NEUTRAL	( ( A baby ) ( is ( playing ( with ( a toy ) ) ) ) )	( ( A ( baby tiger ) ) ( is ( playing ( with ( a ball ) ) ) ) )	3.2	5747
NEUTRAL	( ( Some cheerleaders ) ( are relaxing ) )	( ( A ( female cheerleader ) ) ( is ( sitting ( on ( ( the knee ) ( of ( a ( male cheerleader ) ) ) ) ) ) ) )	3	8122
NEUTRAL	( ( The ( blond girl ) ) ( is ( dancing ( in ( front ( of ( the ( sound equipment ) ) ) ) ) ) ) )	( ( ( A girl ) ( in white ) ) ( is dancing ) )	3.3	228
ENTAILMENT	( ( Two people ) ( are ( driving ( ( ( ( a jeep ) and ) ( a girl ) ) ( is ( sitting ( on ( ( the top ) ( of it ) ) ) ) ) ) ) ) )	( ( Two people ) ( are ( driving ( ( ( ( a jeep ) and ) ( a lady ) ) ( is ( sitting ( on ( ( the top ) ( of it ) ) ) ) ) ) ) ) )	4.8	8163
NEUTRAL	( ( A woman ) ( is ( playing ( a guitar ) ) ) )	( ( A ( talented man ) ) ( is ( playing ( the guitar ) ) ) )	3.2	3747
CONTRADICTION	( ( The man ) ( ( is not ) ( slicing ( the potato ) ) ) )	( ( The man ) ( is ( slicing ( a potato ) ) ) )	2.7	2392
CONTRADICTION	( Boys ( are ( dancing ( in ( front ( of ( some people ) ) ) ) ) ) )	( Boys ( ( are not ) ( dancing ( in ( front ( of ( some people ) ) ) ) ) ) )	3.8	3922
CONTRADICTION	( ( ( The woman ) ( in ( a ( red costume ) ) ) ) ( is ( ( ( leaning ( against ( a ( brick wall ) ) ) ) and ) ( playing ( an instrument ) ) ) ) )	( ( ( The woman ) ( in ( a ( red costume ) ) ) ) ( ( ( ( is not ) ( leaning ( against ( a ( brick wall ) ) ) ) ) and ) ( ( is not ) ( playing ( an instrument ) ) ) ) )	3.2	6358
NEUTRAL	( ( A tower ) ( is ( being ( looked ( at ( by ( a ( blonde lady ) ) ) ) ) ) ) )	( ( A woman ) ( is ( looking ( at ( ( the view ) ( of ( a city ) ) ) ) ) ) )	3.3	7363
CONTRADICTION	( ( A boy ) ( is ( playing guitar ) ) )	( There ( is ( ( no boy ) ( playing guitar ) ) ) )	3.8	4776
NEUTRAL	( ( A dog ) ( is ( ( playing alone ) ( on ( ( a beach ) ( covered ( by snow ) ) ) ) ) ) )	( ( A dog ) ( is ( walking ( along ( a snowdrift ) ) ) ) )	3.2	7743
NEUTRAL	( ( Two dogs ) ( are ( ( playing together ) ( on ( the grass ) ) ) ) )	( ( Two dogs ) ( are ( ( resting together ) ( in ( the grass ) ) ) ) )	3.3	6231
ENTAILMENT	( ( Two ( teenage girls ) ) ( are ( ( wearing ( fancy dresses ) ) ( at ( an event ) ) ) ) )	( ( ( Two girls ) ( in ( their teens ) ) ) ( are ( ( wearing ( fancy dresses ) ) ( at ( an event ) ) ) ) )	4.8	6649
CONTRADICTION	( ( A ( brown dog ) ) ( is ( running ( across ( ( the yard ) ( with ( ( a toy ) ( in ( its mouth ) ) ) ) ) ) ) ) )	( There ( is ( ( no ( brown dog ) ) ( running ( across ( ( the yard ) ( with ( ( a toy ) ( in ( its mouth ) ) ) ) ) ) ) ) ) )	3.8	7214
NEUTRAL	( ( A ( brown ( and ( white dog ) ) ) ) ( is ( running ( through ( the ( tall grass ) ) ) ) ) )	( ( A ( brown ( and ( white dog ) ) ) ) ( is ( moving ( through ( the ( wild grass ) ) ) ) ) )	4.4	382
ENTAILMENT	( ( A man ) ( is ( emptying ( ( a container ) ( made ( of plastic ) ) ) ) ) )	( ( A man ) ( is ( emptying ( ( a container ) ( ( made ( of plastic ) ) completely ) ) ) ) )	4.7	1703
ENTAILMENT	( ( The doctors ) ( are ( healing ( a man ) ) ) )	( ( The doctor ) ( is ( helping ( the patient ) ) ) )	4.2	4505
NEUTRAL	( ( A man ) ( is ( ( walking down ) ( a road ) ) ) )	( ( ( A man ) ( from ( the wilderness ) ) ) ( is ( on ( a ( walking path ) ) ) ) )	3.4	3861
CONTRADICTION	( ( A man ) ( is exercising ) )	( There ( is ( ( no man ) exercising ) ) )	3.4	3897
NEUTRAL	( ( ( A girl ) ( in ( a band ) ) ) ( is ( playing ( an instrument ) ) ) )	( ( The dog ) ( is ( snapping ( at ( ( some droplets ) ( of water ) ) ) ) ) )	1	9975
ENTAILMENT	( ( A man ) ( ( is rock ) ( ( ( ( ( climbing , ) pausing ) and ) calculating ) ( the route ) ) ) )	( ( A man ) ( ( is rock ) ( ( ( ( ( climbing , ) stopping ) and ) calculating ) ( the route ) ) ) )	4.8	8633
NEUTRAL	( ( The man ) ( is ( ( removing knives ) ( from ( a tree ) ) ) ) )	( ( The man ) ( is ( ( throwing knives ) ( at ( a tree ) ) ) ) )	3.3	4067
CONTRADICTION	( There ( is ( no ( man ( ( ( ( running , ) jumping ) and ) ( kicking ( near ( a ( vending machine ) ) ) ) ) ) ) ) )	( ( Three ( young men ) ) ( are ( ( ( ( running , ) jumping ) and ) ( kicking ( near ( a ( vending machine ) ) ) ) ) ) )	3.8	1469
CONTRADICTION	( ( A dog ) ( is ( eating ( a doll ) ) ) )	( There ( is ( ( no dog ) ( playing ( with ( a toy ) ) ) ) ) )	3.8	4187
NEUTRAL	( ( A woman ) ( ( ( is ( parking ( a ( blue bicycle ) ) ) ) and ) ( is ( wearing ( lots ( of ( riding helmets ) ) ) ) ) ) )	( ( A woman ) ( ( ( is ( wearing ( a ( blue helmet ) ) ) ) and ) ( is ( riding ( ( a bicycle ) ( in ( a ( parking lot ) ) ) ) ) ) ) )	3.1	6568
ENTAILMENT	( Noodles ( are ( being ( ( boiled ( in water ) ) ( by ( a woman ) ) ) ) ) )	( ( A woman ) ( is ( boiling ( noodles ( in water ) ) ) ) )	5	2704
ENTAILMENT	( ( A dog ) ( is ( licking ( a baby ) ) ) )	( ( The dog ) ( is ( licking ( the baby ) ) ) )	4.8	3501
NEUTRAL	( ( A ( small ( white dog ) ) ) ( is ( running ( across ( a lawn ) ) ) ) )	( ( A ( big ( white dog ) ) ) ( is ( running ( across ( a lawn ) ) ) ) )	3.1	8841
NEUTRAL	( ( The monkey ) ( is ( brushing ( a ( bull dog ) ) ) ) )	( ( A ( bull dog ) ) ( is ( brushing ( the monkey ) ) ) )	3.9	2606
NEUTRAL	( ( A ( ( ( black and ) white ) dog ) ) ( is ( ( dropping ( a baseball ) ) ( from ( its mouth ) ) ) ) )	( ( A ( brown ( and ( white dog ) ) ) ) ( is ( holding ( ( a baseball ) ( in ( its mouth ) ) ) ) ) )	3.3	6119
NEUTRAL	( ( The man ) ( ( is not ) ( hiking ( in ( the woods ) ) ) ) )	( ( A man ) ( is ( trekking ( in ( the woods ) ) ) ) )	3.8	3181
CONTRADICTION	( There ( is ( ( no man ) ( playing ( a flute ) ) ) ) )	( ( A man ) ( is ( playing ( a ( large flute ) ) ) ) )	4.1	5352
ENTAILMENT	( ( ( The bunch ) ( of men ) ) ( are ( ( playing rugby ) ( on ( ( a field ) ( full ( of mud ) ) ) ) ) ) )	( ( Some men ) ( are ( playing rugby ) ) )	4.5	7582
NEUTRAL	( ( Two ( small children ) ) ( are ( playing ( with ( ( a ( toy car ) ) ( in ( the street ) ) ) ) ) ) )	( ( A dog ) ( ( ( is ( running ( through ( a field ) ) ) ) and ) ( is ( chasing ( a toy ) ) ) ) )	1.4	9771
CONTRADICTION	( ( A monkey ) ( is ( ( teasing ( a dog ) ) ( at ( the zoo ) ) ) ) )	( There ( is ( ( no monkey ) ( ( teasing ( a dog ) ) ( at ( the zoo ) ) ) ) ) )	2.935	4803
NEUTRAL	( ( ( A kid ) ( in ( a ( white t-shirt ) ) ) ) ( is ( splashing ( in ( shallow water ) ) ) ) )	( ( A boy ) ( is ( running ( through ( ( the water ) ( at ( the beach ) ) ) ) ) ) )	3.4	7947
ENTAILMENT	( ( The snowboarder ) ( is ( ( doing ( a flip ) ) ( over ( ( a mound ) ( of snow ) ) ) ) ) )	( Somebody ( is ( jumping ( in ( ( the air ) ( on ( a board ) ) ) ) ) ) )	3.8	6932
ENTAILMENT	( ( The lady ) ( is ( ( picking up ) ( the kangaroo ) ) ) )	( ( The woman ) ( is ( ( picking up ) ( the kangaroo ) ) ) )	4.9	4015
NEUTRAL	( ( A ( race ( car driver ) ) ) ( ( ( is ( sitting down ) ) and ) ( is motionless ) ) )	( ( A ( race ( car driver ) ) ) ( is ( ( ( standing up ) and ) ( ( pointing ( his hand ) ) ( at ( the sky ) ) ) ) ) )	3	6153
CONTRADICTION	( ( The person ) ( ( is not ) ( ( slicing ( ( a clove ) ( of garlic ) ) ) ( into pieces ) ) ) )	( ( The person ) ( is ( ( slicing ( ( a clove ) ( of garlic ) ) ) ( into pieces ) ) ) )	3	2687
NEUTRAL	( ( The woman ) ( is ( erasing ( ( the drawing ) ( on ( the board ) ) ) ) ) )	( ( The man ) ( is ( erasing ( ( the drawing ) ( on ( the board ) ) ) ) ) )	3.7	4164
NEUTRAL	( ( ( Some ( dangerous men ) ) ( with knives ) ) ( are ( throwing ( ( a bike ) ( against ( a tree ) ) ) ) ) )	( ( A man ) ( is ( dangerously ( ( throwing knives ) ( at ( a tree ) ) ) ) ) )	3.3	2019
NEUTRAL	( ( A man ) ( is ( dancing ( on ( the road ) ) ) ) )	( ( A biker ) ( is ( ( riding away ) ( from ( a fence ) ) ) ) )	1.2	9880
NEUTRAL	( ( ( A ( black dog ) ) ( on ( a leash ) ) ) ( is ( walking ( in ( the water ) ) ) ) )	( ( The dog ) ( ( ( is ( on ( a leash ) ) ) and ) ( is ( walking ( near ( the water ) ) ) ) ) )	4.5	8855
CONTRADICTION	( ( A ( large ( green ball ) ) ) ( is ( hitting ( a potato ) ) ) )	( ( A ( big ( green ball ) ) ) ( is ( missing ( a potato ) ) ) )	3.4	2972
NEUTRAL	( ( A woman ) ( is dancing ) )	( ( The man ) ( ( is not ) dancing ) )	3.3	3518
CONTRADICTION	( ( No dog ) ( is ( in ( ( the sand ) ( that ( is ( blowing ( in ( the wind ) ) ) ) ) ) ) ) )	( ( A dog ) ( is ( in ( ( ( a ( sandy area ) ) ( with ( ( the sand ) ( that ( is ( being ( ( stirred up ) ( into ( ( ( the air ) and ) ( several plants ) ) ) ) ) ) ) ) ) ) ( are ( in ( the background ) ) ) ) ) ) )	4	9425
NEUTRAL	( ( An onion ) ( is ( being ( ( sliced ( with ( a knife ) ) ) ( by ( the woman ) ) ) ) ) )	( ( A man ) ( is ( preparing ( some dish ) ) ) )	1.3	2410
NEUTRAL	( ( Two dogs ) ( are ( looking ( at ( something ( that ( is ( splashing ( in ( the water ) ) ) ) ) ) ) ) ) )	( ( Some dogs ) ( ( are not ) ( playing ( in ( a stream ) ) ) ) )	3.7	7820
NEUTRAL	( ( ( ( ( A boy ) , ) ( who ( is ( wearing ( a ( blue coat ) ) ) ) ) ) , ) ( is ( being ( ( held ( by ( his father ) ) ) ( under ( an umbrella ) ) ) ) ) )	( ( ( A boy ) ( under ( an umbrella ) ) ) ( is ( being ( held ( by ( ( his father ) ( who ( is ( wearing ( a ( blue coat ) ) ) ) ) ) ) ) ) ) )	4.3	7726
NEUTRAL	( ( ( A woman ) ( in jeans ) ) ( is ( sitting ( on ( ( the saddle ) ( of ( a horse ) ) ) ) ) ) )	( ( ( A person ) ( wearing jeans ) ) ( is ( ( sitting happily ) ( on ( ( the top ) ( of ( a ( horse saddle ) ) ) ) ) ) ) )	4.2	6078
NEUTRAL	( ( ( A girl ) ( in white ) ) ( is dancing ) )	( ( ( The equipment ) ( in ( front ( of ( the ( blond ( dancing girl ) ) ) ) ) ) ) ( is sound ) )	2.7	225
ENTAILMENT	( ( An ( elder man ) ) ( ( ( is ( sitting ( on ( a bench ) ) ) ) and ) ( is ( wearing ( ( ( a ( gray jacket ) ) and ) ( black pants ) ) ) ) ) )	( ( An ( elderly man ) ) ( is ( sitting ( on ( a bench ) ) ) ) )	4.5	9571
NEUTRAL	( ( A man ) ( is ( ( laying down ) ( a guitar ) ) ) )	( ( A man ) ( is ( playing ( a guitar ) ) ) )	3.3	2996
NEUTRAL	( ( A boy ) ( is ( holding ( ( a hose ) ( ( next ( to ( ( ( a man ) and ) ( another boy ) ) ) ) ( is watching ) ) ) ) ) )	( ( A child ) ( ( ( is ( watching ( someone ( playing outdoors ) ) ) ) and ) ( is ( ( spouting water ) ( over ( ( the rest ) ( of ( his family ) ) ) ) ) ) ) )	3	7533
ENTAILMENT	( ( The man ) ( is ( speaking ( on ( the telephone ) ) ) ) )	( ( The man ) ( is ( talking ( on ( the telephone ) ) ) ) )	4.9	5030
ENTAILMENT	( ( ( A group ) ( of people ) ) ( are ( standing ( around ( a ( sound ( mixing table ) ) ) ) ) ) )	( ( Some people ) ( is ( looking ( at ( sound equipment ) ) ) ) )	3.5	8727
ENTAILMENT	( ( A horse ) ( is ( being ( ridden ( by ( a woman ) ) ) ) ) )	( ( A woman ) ( is ( riding ( a horse ) ) ) )	5	4983
ENTAILMENT	( ( A boy ) ( is ( ( filling ( a pitcher ) ) ( with water ) ) ) )	( ( A pitcher ) ( is ( being ( ( filled ( with water ) ) ( by ( a boy ) ) ) ) ) )	5	3657
NEUTRAL	( ( A dog ) ( is ( in ( ( the sand ) ( that ( is ( blowing ( in ( the air ) ) ) ) ) ) ) ) )	( ( A dog ) ( is ( in ( ( ( a ( sandy area ) ) ( with ( ( the sand ) ( that ( is ( being ( ( stirred up ) ( into ( ( ( the air ) and ) ( several plants ) ) ) ) ) ) ) ) ) ) ( are ( in ( the background ) ) ) ) ) ) )	4.1	9424
NEUTRAL	( ( A ( white dog ) ) ( is ( standing ( on ( fallen leaves ) ) ) ) )	( ( A ( white dog ) ) ( is ( lying ( on ( fallen leaves ) ) ) ) )	3.8	7007
ENTAILMENT	( ( A person ) ( is ( playing ( a ( ( guitar and ) singing ) ) ) ) )	( ( One person ) ( is ( playing ( the ( ( guitar and ) singing ) ) ) ) )	4.9	1964
NEUTRAL	( ( ( The woman ) ( wearing ( ( ( ( ( silver pants ) , ) ( pink bellbottoms ) ) and ) ( a ( pink scarf ) ) ) ) ) ( is ( riding ( a bike ) ) ) )	( ( A ( pedestrian woman ) ) ( is ( building ( ( pink bicycles ) ( for ( boa ( wearing riders ) ) ) ) ) ) )	2.4	526
NEUTRAL	( ( A woman ) ( is ( rocking ( over ( ( a blanket ) ( ( lying ( on someone ) ) ( reading ( a book ) ) ) ) ) ) ) )	( ( ( A woman ) ( on ( a rock ) ) ) ( is ( ( ( lying ( on ( a blanket ) ) ) and ) ( reading ( a book ) ) ) ) )	2.7	2726
NEUTRAL	( ( The cop ) ( is ( sitting ( on ( a ( police bike ) ) ) ) ) )	( ( The animal ) ( is ( grazing ( on ( the grass ) ) ) ) )	1	9963
NEUTRAL	( ( A ( practicing jumper ) ) ( is ( ( tossing ( ( a ( person 's ) ) snowboard ) ) ( into ( the air ) ) ) ) )	( ( Two people ) ( are ( riding ( a bike ) ) ) )	2	9822
ENTAILMENT	( ( A dog ) ( is ( jumping ( on ( a trampoline ) ) ) ) )	( ( A dog ) ( is ( bouncing ( on ( a trampoline ) ) ) ) )	4.7	4135
ENTAILMENT	( ( A ( large flute ) ) ( is ( being ( played ( by ( a man ) ) ) ) ) )	( ( A man ) ( is ( playing ( a flute ) ) ) )	4.3	5349
ENTAILMENT	( ( A man ) ( is ( playing ( an ( electric guitar ) ) ) ) )	( ( A man ) ( is ( playing guitar ) ) )	4.9	1493
NEUTRAL	( ( The kids ) ( ( are not ) ( wearing ( ( ( suits and ) water ) ( is ( splashing around ) ) ) ) ) )	( ( Children ( in ( swimming suits ) ) ) ( are ( playing ( in ( the water ) ) ) ) )	2.8	7997
